model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,-0.373208612203598,"[100.0, 5.0, 1.0]","[0.7174839377403259, 1.1217656135559082, 0.9729424715042114]",13251,4253,0.3209569089125349
Strategic (f*_s),1.0,-1.3405919075012207,"[100.0, 5.0, 1.0]","[0.7390108704566956, 1.130316972732544, 0.9796889424324036]",13688,3825,0.2794418468731736
Strat-Imp-Aware (f*_imp),1.0,-1.2305747270584106,"[100.0, 5.0, 1.0]","[0.7389665246009827, 1.1813853979110718, 0.9889678955078125]",14125,4073,0.28835398230088494
Optimal Linear classifier (f*),1.0,-0.373208612203598,"[100.0, 5.0, 1.0]","[0.7174839377403259, 1.1217656135559082, 0.9729424715042114]",13251,4299,0.3244283450305637
Strategic (f*_s),1.0,-1.3405919075012207,"[100.0, 5.0, 1.0]","[0.7390108704566956, 1.130316972732544, 0.9796889424324036]",13688,3773,0.2756428988895383
Strat-Imp-Aware (f*_imp),1.0,-1.2777856588363647,"[100.0, 5.0, 1.0]","[0.6117626428604126, 1.1770433187484741, 0.988681972026825]",14713,4154,0.2823353496907497
Optimal Linear classifier (f*),1.0,-0.3787563443183899,"[100.0, 5.0, 1.0]","[0.7207121849060059, 1.1222155094146729, 0.9584270119667053]",13181,4298,0.3260754115772703
Strategic (f*_s),1.0,-1.3439719676971436,"[100.0, 5.0, 1.0]","[0.7332292199134827, 1.1344349384307861, 0.9795907139778137]",13727,3796,0.2765352954032199
Strat-Imp-Aware (f*_imp),1.0,-1.238369345664978,"[100.0, 5.0, 1.0]","[0.5944932103157043, 1.2115570306777954, 0.9659858345985413]",14688,4261,0.2901007625272331
Optimal Linear classifier (f*),1.0,-0.21398572623729706,"[100.0, 5.0, 1.0]","[0.5437619686126709, 1.088535189628601, 0.9175969362258911]",12539,3880,0.30943456415982135
Strategic (f*_s),1.0,-0.9961004257202148,"[100.0, 5.0, 1.0]","[0.6118655204772949, 1.1242797374725342, 0.8180980086326599]",13526,4103,0.3033417122578737
Strat-Imp-Aware (f*_imp),1.0,-1.1885801553726196,"[100.0, 5.0, 1.0]","[0.6599171161651611, 1.2216235399246216, 0.8543750047683716]",12939,3725,0.2878893268413324
Optimal Linear classifier (f*),1.0,-0.21398572623729706,"[100.0, 5.0, 1.0]","[0.5437619686126709, 1.088535189628601, 0.9175969362258911]",12539,3803,0.30329372358242285
Strategic (f*_s),1.0,-0.9961004257202148,"[100.0, 5.0, 1.0]","[0.6118655204772949, 1.1242797374725342, 0.8180980086326599]",13526,4125,0.30496820937453795
Strat-Imp-Aware (f*_imp),1.0,-1.2225943803787231,"[100.0, 5.0, 1.0]","[0.6078945398330688, 1.1387518644332886, 0.7647900581359863]",12297,3342,0.2717736033178824
Optimal Linear classifier (f*),1.0,-0.21398572623729706,"[100.0, 5.0, 1.0]","[0.5437619686126709, 1.088535189628601, 0.9175969362258911]",12539,3803,0.30329372358242285
Strategic (f*_s),1.0,-0.9974290728569031,"[100.0, 5.0, 1.0]","[0.6092237830162048, 1.1228291988372803, 0.8161478638648987]",13530,4132,0.30539541759053956
Strat-Imp-Aware (f*_imp),1.0,-1.2165958881378174,"[100.0, 5.0, 1.0]","[0.6185063123703003, 1.1311800479888916, 0.7718311548233032]",12208,3358,0.27506553079947577
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[100.0, 5.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",12727,4357,0.34234305020821876
Strategic (f*_s),1.0,-1.327582836151123,"[100.0, 5.0, 1.0]","[0.5578297972679138, 1.1746937036514282, 0.8697923421859741]",13440,3578,0.2662202380952381
Strat-Imp-Aware (f*_imp),1.0,-1.2193660736083984,"[100.0, 5.0, 1.0]","[0.629636287689209, 1.1614822149276733, 0.8860376477241516]",13629,3841,0.2818255191136547
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[100.0, 5.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",12727,4357,0.34234305020821876
Strategic (f*_s),1.0,-1.3274275064468384,"[100.0, 5.0, 1.0]","[0.5580689311027527, 1.1749215126037598, 0.8685856461524963]",13461,3582,0.2661020726543347
Strat-Imp-Aware (f*_imp),1.0,-1.2191495895385742,"[100.0, 5.0, 1.0]","[0.6297687292098999, 1.1613314151763916, 0.885160505771637]",13572,3805,0.28035661656351313
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[100.0, 5.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",12727,4357,0.34234305020821876
Strategic (f*_s),1.0,-1.327582836151123,"[100.0, 5.0, 1.0]","[0.5578297972679138, 1.1746937036514282, 0.8697923421859741]",13440,3578,0.2662202380952381
Strat-Imp-Aware (f*_imp),1.0,-1.2193660736083984,"[100.0, 5.0, 1.0]","[0.629636287689209, 1.1614822149276733, 0.8860376477241516]",13629,3841,0.2818255191136547
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 1.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",16393,5573,0.3399621789788324
Strategic (f*_s),1.0,-1.6758084297180176,"[1.0, 1.0, 1.0]","[0.5499207377433777, 1.1968058347702026, 0.8695266842842102]",17225,4382,0.2543976777939042
Strat-Imp-Aware (f*_imp),1.0,-1.490153431892395,"[1.0, 1.0, 1.0]","[0.5587272047996521, 1.265745759010315, 0.9200435876846313]",18916,5550,0.29340241065764433
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 1.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",16393,5573,0.3399621789788324
Strategic (f*_s),1.0,-1.677529215812683,"[1.0, 1.0, 1.0]","[0.5502278804779053, 1.1951755285263062, 0.8684070706367493]",17134,4347,0.25370608147542895
Strat-Imp-Aware (f*_imp),1.0,-1.490153431892395,"[1.0, 1.0, 1.0]","[0.5587272047996521, 1.265745759010315, 0.9200435876846313]",18916,5550,0.29340241065764433
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 1.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",16393,5573,0.3399621789788324
Strategic (f*_s),1.0,-1.677529215812683,"[1.0, 1.0, 1.0]","[0.5502278804779053, 1.1951755285263062, 0.8684070706367493]",17134,4347,0.25370608147542895
Strat-Imp-Aware (f*_imp),1.0,-1.4922113418579102,"[1.0, 1.0, 1.0]","[0.5627614259719849, 1.2567721605300903, 0.9221913814544678]",18732,5417,0.2891842835789024
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 1.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",16393,5573,0.3399621789788324
Strategic (f*_s),1.0,-1.677529215812683,"[1.0, 1.0, 1.0]","[0.5502278804779053, 1.1951755285263062, 0.8684070706367493]",17134,4347,0.25370608147542895
Strat-Imp-Aware (f*_imp),1.0,-1.4918384552001953,"[1.0, 1.0, 1.0]","[0.5681940913200378, 1.2522163391113281, 0.9195323586463928]",18742,5432,0.2898303276064454
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[5.0, 1.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",16393,5573,0.3399621789788324
Strategic (f*_s),1.0,-1.677529215812683,"[5.0, 1.0, 1.0]","[0.5502278804779053, 1.1951755285263062, 0.8684070706367493]",17134,4347,0.25370608147542895
Strat-Imp-Aware (f*_imp),1.0,-1.4918384552001953,"[5.0, 1.0, 1.0]","[0.5681940913200378, 1.2522163391113281, 0.9195323586463928]",18742,5432,0.2898303276064454
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[5.0, 0.800000011920929, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",19301,6792,0.3518988653437646
