model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,-1.0095473527908325,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.46389535069465637, 1.9729833602905273, 0.24461916089057922, 0.3553836941719055, 0.37100985646247864]",3396,1106,0.32567726737338043
Strategic (f*_s),1.0,-1.8788034915924072,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3212549388408661, 1.7367565631866455, 0.238325834274292, -0.007434234023094177, 0.2747645974159241]",533,112,0.2101313320825516
Strat-Imp-Aware (f*_imp),1.0,-1.7052390575408936,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3189461827278137, 1.8106011152267456, 0.34041672945022583, 0.33567947149276733, 0.2892055809497833]",866,300,0.3464203233256351
Optimal Linear classifier (f*),1.0,-0.9160367250442505,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]","[0.24452199041843414, 1.7497673034667969, 0.48800161480903625, 0.0008205794729292393, 0.20743516087532043]",12282,4435,0.3610975411170819
Strategic (f*_s),1.0,-11.906103134155273,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]","[1.0406098365783691, 2.3271303176879883, 0.5331325531005859, 0.38573575019836426, 0.4887233376502991]",4359,2178,0.49965588437715075
Strat-Imp-Aware (f*_imp),1.0,-2.9622652530670166,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 1.0]","[0.013851013965904713, 0.8358476758003235, 0.06641275435686111, -0.01697133108973503, -0.010167509317398071]",13486,10059,0.7458846210885363
Optimal Linear classifier (f*),1.0,-0.9160367250442505,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.24452199041843414, 1.7497673034667969, 0.48800161480903625, 0.0008205794729292393, 0.20743516087532043]",11462,4293,0.3745419647530972
Strategic (f*_s),1.0,-2.7455060482025146,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.31536054611206055, 1.7460147142410278, 0.4876469671726227, 0.01475917175412178, 0.2368401437997818]",898,214,0.2383073496659243
Strat-Imp-Aware (f*_imp),1.0,-2.8243350982666016,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6997116804122925, 1.8290072679519653, 0.35352522134780884, 0.4074628949165344, 0.6903792023658752]",1897,725,0.38218239325250397
Optimal Linear classifier (f*),1.0,-0.7138957977294922,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.11009183526039124, 1.9116954803466797, 0.3226299583911896, 0.04537324979901314, 0.05997830256819725]",12169,3567,0.29312186703919796
Strategic (f*_s),1.0,-9.584522247314453,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.33595895767211914, 1.6827514171600342, 0.23474331200122833, 0.15728728473186493, 0.17272627353668213]",775,90,0.11612903225806452
Strat-Imp-Aware (f*_imp),1.0,-2.1470537185668945,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.022270381450653076, 0.8614463806152344, 0.0028069280087947845, -0.015541117638349533, -0.047112397849559784]",13464,9623,0.7147207367795603
Optimal Linear classifier (f*),1.0,-0.7138957977294922,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.11009183526039124, 1.9116954803466797, 0.3226299583911896, 0.04537324979901314, 0.05997830256819725]",12169,3567,0.29312186703919796
Strategic (f*_s),1.0,-9.584522247314453,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.33595895767211914, 1.6827514171600342, 0.23474331200122833, 0.15728728473186493, 0.17272627353668213]",775,90,0.11612903225806452
Strat-Imp-Aware (f*_imp),1.0,-2.1470537185668945,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.022270381450653076, 0.8614463806152344, 0.0028069280087947845, -0.015541117638349533, -0.047112397849559784]",13464,9623,0.7147207367795603
Optimal Linear classifier (f*),1.0,-0.7138957977294922,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.11009183526039124, 1.9116954803466797, 0.3226299583911896, 0.04537324979901314, 0.05997830256819725]",12169,3567,0.29312186703919796
Strategic (f*_s),1.0,-2.6383585929870605,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.1369195133447647, 1.8981479406356812, 0.31601080298423767, 0.0579727366566658, 0.06547392159700394]",1063,305,0.2869238005644403
Strat-Imp-Aware (f*_imp),1.0,-2.7917134761810303,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7201831936836243, 1.850156545639038, 0.3341703414916992, 0.5153185725212097, 0.6353238821029663]",2048,773,0.37744140625
Optimal Linear classifier (f*),1.0,-0.7138957977294922,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.11009183526039124, 1.9116954803466797, 0.3226299583911896, 0.04537324979901314, 0.05997830256819725]",12169,3567,0.29312186703919796
Strategic (f*_s),1.0,-9.584522247314453,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.33595895767211914, 1.6827514171600342, 0.23474331200122833, 0.15728728473186493, 0.17272627353668213]",775,90,0.11612903225806452
Strat-Imp-Aware (f*_imp),1.0,-2.1470537185668945,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.022270381450653076, 0.8614463806152344, 0.0028069280087947845, -0.015541117638349533, -0.047112397849559784]",13464,9623,0.7147207367795603
