model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",958,287,0.29958246346555323
Strategic (f*_s),1.0,-1.0669974088668823,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8661049604415894, 0.04055846109986305, 0.16808025538921356, 0.2766418159008026, 0.007248202804476023, 0.048380620777606964, -0.030789202079176903, 0.21535639464855194]",734,168,0.22888283378746593
Strat-Imp-Aware (f*_imp),1.0,-0.8529478907585144,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9796052575111389, 0.023937391117215157, 0.13740882277488708, 0.30495312809944153, 0.0686701238155365, 0.011793863959610462, 0.05037331581115723, 0.13233935832977295]",933,275,0.2947481243301179
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",1135,350,0.30837004405286345
Strategic (f*_s),1.0,-1.285121202468872,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8668034672737122, 0.03486546874046326, 0.18517392873764038, 0.2742532193660736, 0.01974409818649292, 0.049816232174634933, -0.028727104887366295, 0.2123698890209198]",898,218,0.24276169265033407
Strat-Imp-Aware (f*_imp),1.0,-0.9322221279144287,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9418975710868835, 0.02510695345699787, 0.16997013986110687, 0.27065426111221313, 0.14040112495422363, 0.046524208039045334, 0.06853373348712921, 0.12593019008636475]",1094,343,0.31352833638025596
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",958,287,0.29958246346555323
Strategic (f*_s),1.0,-1.0669974088668823,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8661049604415894, 0.04055846109986305, 0.16808025538921356, 0.2766418159008026, 0.007248202804476023, 0.048380620777606964, -0.030789202079176903, 0.21535639464855194]",734,168,0.22888283378746593
Strat-Imp-Aware (f*_imp),1.0,-0.8529478907585144,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9796052575111389, 0.023937391117215157, 0.13740882277488708, 0.30495312809944153, 0.0686701238155365, 0.011793863959610462, 0.05037331581115723, 0.13233935832977295]",933,275,0.2947481243301179
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",1785,606,0.33949579831932775
