model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,1.4270864725112915,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10887482762336731, -0.3652043044567108, 0.16760855913162231, 0.050790250301361084, 0.1123594418168068, 0.6750224828720093]",10,2,0.2
Strategic (f*_s),1.0,1.3247328996658325,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.24922171235084534, -0.4648553133010864, 0.3490562438964844, 0.10104898363351822, 0.062305137515068054, 0.798263669013977]",53,16,0.3018867924528302
Strat-Imp-Aware (f*_imp),1.0,1.315480351448059,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.3261072635650635, -0.557072639465332, 0.23968680202960968, 0.09906862676143646, 0.20600615441799164, 0.8817859888076782]",35,8,0.22857142857142856
Optimal Linear classifier (f*),1.0,1.4270864725112915,"[100.0, 5.0, 1000.0, 10.0, 1000.0, 1000.0]","[-0.10887482762336731, -0.3652043044567108, 0.16760855913162231, 0.050790250301361084, 0.1123594418168068, 0.6750224828720093]",0,0,0
Strategic (f*_s),1.0,1.4862200021743774,"[100.0, 5.0, 1000.0, 10.0, 1000.0, 1000.0]","[-0.2708260715007782, -0.5187731385231018, 0.18075956404209137, 0.17679502069950104, -0.03374313935637474, 0.7104857563972473]",0,0,0
Strat-Imp-Aware (f*_imp),1.0,1.5037087202072144,"[100.0, 5.0, 1000.0, 10.0, 1000.0, 1000.0]","[-0.29598596692085266, -0.5647101998329163, 0.14352114498615265, 0.10365227609872818, 0.2604944109916687, 0.9688729047775269]",1,0,0.0
Optimal Linear classifier (f*),1.0,1.4270864725112915,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10887482762336731, -0.3652043044567108, 0.16760855913162231, 0.050790250301361084, 0.1123594418168068, 0.6750224828720093]",10,2,0.2
Strategic (f*_s),1.0,1.3247328996658325,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.24922171235084534, -0.4648553133010864, 0.3490562438964844, 0.10104898363351822, 0.062305137515068054, 0.798263669013977]",53,16,0.3018867924528302
Strat-Imp-Aware (f*_imp),1.0,1.3026162385940552,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.2970387935638428, -0.5064113140106201, 0.31566715240478516, 0.13696280121803284, 0.3106260597705841, 0.888129711151123]",93,29,0.3118279569892473
Optimal Linear classifier (f*),1.0,1.4270864725112915,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10887482762336731, -0.3652043044567108, 0.16760855913162231, 0.050790250301361084, 0.1123594418168068, 0.6750224828720093]",10,2,0.2
Strategic (f*_s),1.0,1.3247328996658325,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.24922171235084534, -0.4648553133010864, 0.3490562438964844, 0.10104898363351822, 0.062305137515068054, 0.798263669013977]",53,16,0.3018867924528302
Strat-Imp-Aware (f*_imp),1.0,1.315480351448059,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.3261072635650635, -0.557072639465332, 0.23968680202960968, 0.09906862676143646, 0.20600615441799164, 0.8817859888076782]",35,8,0.22857142857142856
Optimal Linear classifier (f*),1.0,1.4487742185592651,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.19977232813835144, -0.47026920318603516, 0.20836465060710907, 0.029315685853362083, 0.1649467647075653, 1.0555003881454468]",30,7,0.23333333333333334
Strategic (f*_s),1.0,1.277482509613037,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.17113341391086578, -0.4480307400226593, 0.15813639760017395, 0.05923338234424591, 0.1891036480665207, 0.9692053198814392]",40,13,0.325
Strat-Imp-Aware (f*_imp),1.0,1.2227296829223633,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.07452402263879776, -0.5807348489761353, 0.15732461214065552, -0.031645290553569794, -0.12608344852924347, 0.753972053527832]",0,0,0
Optimal Linear classifier (f*),1.0,1.452351689338684,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",37,14,0.3783783783783784
