model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,1.4192495346069336,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10621519386768341, -0.47503140568733215, 0.1887040138244629, 0.049835119396448135, 0.061721332371234894, 0.8037473559379578]",14,5,0.35714285714285715
Strategic (f*_s),1.0,1.1113221645355225,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.0678749606013298, -0.44060713052749634, 0.1303657591342926, 0.04112574830651283, 0.1363726258277893, 0.8785862922668457]",60,22,0.36666666666666664
Strat-Imp-Aware (f*_imp),1.0,1.166014313697815,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.19283269345760345, -0.5897002816200256, 0.0812525749206543, 0.016261767596006393, 0.09498869627714157, 1.0747921466827393]",29,5,0.1724137931034483
Optimal Linear classifier (f*),1.0,0.7753070592880249,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.16721439361572266, 0.5925248861312866, 0.2216717004776001, 0.08620806038379669, 0.0359172597527504, 0.717333972454071]",888,139,0.15653153153153154
Strategic (f*_s),1.0,-0.11208315938711166,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.3167090117931366, 0.21085107326507568, 0.3769022226333618, 0.21153078973293304, -0.32276439666748047, 1.3089219331741333]",391,11,0.028132992327365727
Strat-Imp-Aware (f*_imp),1.0,1.6231015920639038,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.024617070332169533, -0.5951821804046631, 0.26762285828590393, 0.14785058796405792, 0.01009329967200756, 1.262471318244934]",56,12,0.21428571428571427
Optimal Linear classifier (f*),1.0,0.7462711334228516,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.18186292052268982, 0.05847417190670967, 0.39379969239234924, 0.28021591901779175, -0.11984175443649292, 0.9563860297203064]",564,96,0.1702127659574468
Strategic (f*_s),1.0,0.48464271426200867,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.193487748503685, 0.05417218804359436, 0.5074297785758972, 0.18874411284923553, -0.13819551467895508, 1.396834135055542]",621,54,0.08695652173913043
Strat-Imp-Aware (f*_imp),1.0,1.3784550428390503,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.0016763951862230897, -0.6983188986778259, 0.38702696561813354, 0.12050333619117737, 0.12807048857212067, 1.1486363410949707]",164,47,0.2865853658536585
Optimal Linear classifier (f*),1.0,0.617106020450592,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.2564331293106079, 0.6313042640686035, 0.5424755215644836, 0.18947733938694, -0.020001983270049095, 0.7550880908966064]",1267,145,0.11444356748224152
Strategic (f*_s),1.0,0.13533517718315125,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.4054090976715088, 0.07334847003221512, 0.4528977572917938, 0.09056881070137024, -0.21341310441493988, 1.234045386314392]",610,34,0.05573770491803279
Strat-Imp-Aware (f*_imp),1.0,1.4729443788528442,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10701379925012589, -0.7228742241859436, 0.10029569268226624, 0.318966805934906, 0.139669269323349, 1.4135338068008423]",140,38,0.2714285714285714
Optimal Linear classifier (f*),1.0,1.4522260427474976,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.16693447530269623, -0.6118621826171875, 0.17905953526496887, 0.019056973978877068, 0.09301995486021042, 1.1920417547225952]",37,8,0.21621621621621623
Strategic (f*_s),1.0,1.2438474893569946,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.0820888876914978, -0.4975408613681793, 0.30703961849212646, 0.0010535229230299592, 0.1474091112613678, 1.1179289817810059]",175,60,0.34285714285714286
Strat-Imp-Aware (f*_imp),1.0,1.2303515672683716,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.04280904680490494, -0.7354090809822083, 0.15300965309143066, -0.0028095522429794073, -0.20770671963691711, 0.8815832138061523]",1,0,0.0
Optimal Linear classifier (f*),1.0,1.1554508209228516,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.013584783300757408, -0.5025474429130554, 0.04379604384303093, 0.05272119119763374, 0.05597520247101784, 0.8156311511993408]",16,4,0.25
Strategic (f*_s),1.0,1.095709204673767,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.05951203033328056, -0.6189742684364319, -0.03421953693032265, 0.04895355924963951, -0.013917859643697739, 0.7339323163032532]",2,0,0.0
Strat-Imp-Aware (f*_imp),1.0,1.1379609107971191,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.006382972002029419, -0.6394574642181396, 0.16234475374221802, 0.12194018810987473, -0.04546572268009186, 0.9313474297523499]",35,13,0.37142857142857144
Optimal Linear classifier (f*),1.0,0.6682494878768921,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.017334219068288803, 0.21129681169986725, 0.6261597871780396, 0.25115859508514404, -0.040256012231111526, 0.8856505751609802]",780,110,0.14102564102564102
Strategic (f*_s),1.0,0.22212687134742737,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.002868021372705698, 0.30877742171287537, 0.5693013072013855, 0.20600709319114685, -0.11495823413133621, 0.9388212561607361]",900,64,0.07111111111111111
Strat-Imp-Aware (f*_imp),1.0,1.432526707649231,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.011210132390260696, -0.5684728026390076, 0.3497699797153473, 0.28888124227523804, 0.049210112541913986, 1.558380365371704]",245,51,0.20816326530612245
Optimal Linear classifier (f*),1.0,0.7690652012825012,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.1881125271320343, 0.5732751488685608, 0.5754749774932861, 0.15502919256687164, -0.1854362040758133, 0.5537616014480591]",1267,214,0.16890292028413575
Strategic (f*_s),1.0,0.03853362798690796,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.32610630989074707, 0.005458085797727108, 0.6578311324119568, 0.29882925748825073, -0.36293524503707886, 0.9463647603988647]",1087,75,0.06899724011039558
Strat-Imp-Aware (f*_imp),1.0,1.503621220588684,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.19414152204990387, -0.7197099328041077, 0.6566398739814758, 0.05070040002465248, -0.023558082059025764, 1.237550973892212]",191,54,0.28272251308900526
Optimal Linear classifier (f*),1.0,0.7690652012825012,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.1881125271320343, 0.5732751488685608, 0.5754749774932861, 0.15502919256687164, -0.1854362040758133, 0.5537616014480591]",1267,214,0.16890292028413575
Strategic (f*_s),1.0,0.03853362798690796,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.32610630989074707, 0.005458085797727108, 0.6578311324119568, 0.29882925748825073, -0.36293524503707886, 0.9463647603988647]",1087,75,0.06899724011039558
Strat-Imp-Aware (f*_imp),1.0,1.503621220588684,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.19414152204990387, -0.7197099328041077, 0.6566398739814758, 0.05070040002465248, -0.023558082059025764, 1.237550973892212]",191,54,0.28272251308900526
Optimal Linear classifier (f*),1.0,0.7690652012825012,"[1.0, 8.0, 1.0, 1.0, 10.0, 10.0]","[0.1881125271320343, 0.5732751488685608, 0.5754749774932861, 0.15502919256687164, -0.1854362040758133, 0.5537616014480591]",716,105,0.14664804469273743
Strategic (f*_s),1.0,0.16704070568084717,"[1.0, 8.0, 1.0, 1.0, 10.0, 10.0]","[0.48811736702919006, 0.2979506850242615, 0.29865527153015137, 0.2393641322851181, -0.364985853433609, 0.5297027230262756]",858,52,0.06060606060606061
Strat-Imp-Aware (f*_imp),1.0,1.507713794708252,"[1.0, 8.0, 1.0, 1.0, 10.0, 10.0]","[-0.24997948110103607, -0.6787042617797852, 0.621821939945221, 0.08575677126646042, -0.03657064586877823, 1.254808783531189]",178,49,0.2752808988764045
Optimal Linear classifier (f*),1.0,0.7690652012825012,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.1881125271320343, 0.5732751488685608, 0.5754749774932861, 0.15502919256687164, -0.1854362040758133, 0.5537616014480591]",1267,214,0.16890292028413575
Strategic (f*_s),1.0,0.03853362798690796,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.32610630989074707, 0.005458085797727108, 0.6578311324119568, 0.29882925748825073, -0.36293524503707886, 0.9463647603988647]",1087,75,0.06899724011039558
Strat-Imp-Aware (f*_imp),1.0,1.503621220588684,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.19414152204990387, -0.7197099328041077, 0.6566398739814758, 0.05070040002465248, -0.023558082059025764, 1.237550973892212]",191,54,0.28272251308900526
Optimal Linear classifier (f*),1.0,0.7755140066146851,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",1317,225,0.17084282460136674
Strategic (f*_s),1.0,0.23145698010921478,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.24498918652534485, -0.27423983812332153, 0.4857795834541321, 0.30424976348876953, -0.2607676684856415, 1.1772654056549072]",892,77,0.08632286995515695
Strat-Imp-Aware (f*_imp),1.0,1.4904186725616455,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.13213367760181427, -0.6957131624221802, 0.5272420644760132, 0.13780470192432404, 0.1501053124666214, 0.9898489713668823]",135,46,0.34074074074074073
Optimal Linear classifier (f*),1.0,1.4270864725112915,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10887482762336731, -0.3652043044567108, 0.16760855913162231, 0.050790250301361084, 0.1123594418168068, 0.6750224828720093]",10,3,0.3
