model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,-0.10886664688587189,"[1.0, 1.0, 1.0]","[0.3270803689956665, -0.9531119465827942, 1.885879635810852]",3252,599,0.18419434194341944
Strategic (f*_s),1.0,-1.8786983489990234,"[1.0, 1.0, 1.0]","[0.30262258648872375, -0.7917397618293762, 1.6745902299880981]",2538,432,0.1702127659574468
Strat-Imp-Aware (f*_imp),1.0,-1.6073493957519531,"[1.0, 1.0, 1.0]","[0.362480103969574, -0.5421794652938843, 1.5921151638031006]",2839,546,0.1923212398731948
Optimal Linear classifier (f*),1.0,-0.15454815328121185,"[1.0, 1.0, 1.0, 1.0]","[-0.19592387974262238, -1.054033637046814, -0.8793967366218567, 2.171048641204834]",3330,747,0.22432432432432434
Strategic (f*_s),1.0,-2.1428122520446777,"[1.0, 1.0, 1.0, 1.0]","[-0.20035599172115326, -0.912351667881012, -0.7910032868385315, 1.9225459098815918]",2423,561,0.23153115971935617
Strat-Imp-Aware (f*_imp),1.0,-1.9917526245117188,"[1.0, 1.0, 1.0, 1.0]","[-0.19760191440582275, -0.6819725036621094, -0.5103800892829895, 1.638245701789856]",2070,432,0.20869565217391303
Optimal Linear classifier (f*),1.0,-0.15454815328121185,"[0.5, 0.5, 0.5, 0.5]","[-0.19592387974262238, -1.054033637046814, -0.8793967366218567, 2.171048641204834]",3331,747,0.22425697988592014
Strategic (f*_s),1.0,-3.4115121364593506,"[0.5, 0.5, 0.5, 0.5]","[-0.19301638007164001, -0.6911131143569946, -0.7200309634208679, 1.7324227094650269]",3136,638,0.20344387755102042
Strat-Imp-Aware (f*_imp),1.0,-1.055050253868103,"[0.5, 0.5, 0.5, 0.5]","[0.14237314462661743, 0.9981635808944702, 0.7213383316993713, -0.998032808303833]",5952,1982,0.332997311827957
Optimal Linear classifier (f*),1.0,-0.15454815328121185,"[0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582]","[-0.19592387974262238, -1.054033637046814, -0.8793967366218567, 2.171048641204834]",3331,747,0.22425697988592014
Strategic (f*_s),1.0,-70.40390014648438,"[0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582]","[-13.727144241333008, -42.73484420776367, -61.94424057006836, -4.2885565757751465]",0,0,0
Strat-Imp-Aware (f*_imp),1.0,-67.88594818115234,"[0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582]","[-10.714046478271484, 6.457414150238037, -22.75503921508789, -50.254940032958984]",5100,2190,0.4294117647058823
Optimal Linear classifier (f*),1.0,-0.15454815328121185,"[0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071]","[-0.19592387974262238, -1.054033637046814, -0.8793967366218567, 2.171048641204834]",3331,747,0.22425697988592014
Strategic (f*_s),1.0,-2.7322120666503906,"[0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071]","[-0.20971879363059998, -0.8346794843673706, -0.7146857380867004, 1.7187007665634155]",2149,464,0.21591437878082828
Strat-Imp-Aware (f*_imp),1.0,-2.1179378032684326,"[0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071]","[-0.2948909103870392, -0.39163219928741455, -0.18888507783412933, 1.2712382078170776]",2233,418,0.18719211822660098
Optimal Linear classifier (f*),1.0,-0.15454815328121185,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[-0.19592387974262238, -1.054033637046814, -0.8793967366218567, 2.171048641204834]",3331,747,0.22425697988592014
Strategic (f*_s),1.0,-4.5812506675720215,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[-0.006368202157318592, 0.02861478365957737, -0.29069462418556213, 1.019443154335022]",4116,552,0.13411078717201166
Strat-Imp-Aware (f*_imp),1.0,-2.6944098472595215,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.09268852323293686, 1.0152643918991089, 0.41008004546165466, -0.9449763894081116]",6000,2667,0.4445
Optimal Linear classifier (f*),1.0,-0.13176997005939484,"[0.20000000298023224, 0.30000001192092896, 0.5]","[0.04149145632982254, 0.7947314381599426, 0.14627884328365326]",3386,1034,0.30537507383343176
Strategic (f*_s),1.0,-2.3134469985961914,"[0.20000000298023224, 0.30000001192092896, 0.5]","[-0.07534025609493256, 0.8126477003097534, 0.11866263300180435]",4026,1508,0.37456532538499754
Strat-Imp-Aware (f*_imp),1.0,-0.5971571803092957,"[0.20000000298023224, 0.30000001192092896, 0.5]","[-0.10118235647678375, 0.5848937034606934, 0.20206741988658905]",4898,1664,0.33973050224581464
Optimal Linear classifier (f*),1.0,-0.13176997005939484,"[1.0, 1.0, 1.0]","[0.04149145632982254, 0.7947314381599426, 0.14627884328365326]",2108,583,0.27656546489563566
