model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,-0.08620262145996094,"[0.5, 0.5]","[-0.5468739867210388, 0.9743698239326477]",2941,967,0.328799727983679
Strategic (f*_s),1.0,-1.9625154733657837,"[0.5, 0.5]","[-0.5261290073394775, 0.9591507911682129]",2600,773,0.29730769230769233
Strat-Imp-Aware (f*_imp),1.0,-1.2869126796722412,"[0.5, 0.5]","[-0.4001576900482178, 1.0507709980010986]",3794,1369,0.36083289404322616
Optimal Linear classifier (f*),1.0,-0.08620262145996094,"[0.10000000149011612, 0.4000000059604645]","[-0.5468739867210388, 0.9743698239326477]",3134,1062,0.3388640714741544
Strategic (f*_s),1.0,-2.4757320880889893,"[0.10000000149011612, 0.4000000059604645]","[-0.6261955499649048, 1.0403516292572021]",3039,971,0.31951299769661073
Strat-Imp-Aware (f*_imp),1.0,0.059585921466350555,"[0.10000000149011612, 0.4000000059604645]","[-0.15264557301998138, 0.38064560294151306]",2657,822,0.3093714715844938
Optimal Linear classifier (f*),1.0,-0.08620262145996094,"[1.0, 1.0]","[-0.5468739867210388, 0.9743698239326477]",1930,578,0.2994818652849741
Strategic (f*_s),1.0,-0.9562330842018127,"[1.0, 1.0]","[-0.5471205115318298, 0.9820807576179504]",1785,496,0.27787114845938377
Strat-Imp-Aware (f*_imp),1.0,-0.7880499958992004,"[1.0, 1.0]","[-0.5631299614906311, 1.0216689109802246]",1944,602,0.3096707818930041
Optimal Linear classifier (f*),1.0,-0.00921291671693325,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1.330912470817566, -0.8942474126815796, 1.1189302206039429, 0.6053418517112732, -0.625472366809845, 0.2754731774330139, 0.2139720469713211, -0.7014183402061462]",3027,1057,0.34919061777337296
Strategic (f*_s),1.0,-14.8431978225708,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1.7437992095947266, -1.1139839887619019, 1.3506211042404175, 0.631885826587677, -0.9925153851509094, 0.380949467420578, 0.33994075655937195, -0.7969270348548889]",2233,232,0.1038961038961039
Strat-Imp-Aware (f*_imp),1.0,-2.69193696975708,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.6953750848770142, -0.20936110615730286, 0.3004508316516876, 0.27492937445640564, -0.19944335520267487, 0.02276843599975109, -0.0068402960896492004, -0.20528848469257355]",5992,2968,0.4953271028037383
